feature_norm,feature_orig,Data Type,Combined_RI,Mean_log_effect,Mean_sd,Mean_sel,min_p_value,max_abs_effect,frailty_abs_coef,adr_abs_coef,readm_abs_coef,score_ri,score_logeff,score_p,score_frailty_abs_coef,score_adr_abs_coef,score_readm_abs_coef,score_max_abs_effect,feature_score
ordinary_hospitalizations_n,ordinary_hospitalizations_n,object,,,,,3.536551949384732e-18,0.6628187907103169,,,,,,1.0,,,,0.7368421052631579,1.0
observation_end_reason,observation_end_reason,object,,,,,1.183968582288497e-13,0.6621401186417426,,,,,,0.9166666666666666,,,,0.7324561403508771,0.9166666666666667
altro,altro,float64,,,,,1.827677282181505e-14,1.087024819946674,0.504873749703488,0.545323687241002,0.2554255804022078,,,0.9254385964912281,0.9487179487179487,0.5384615384615384,1.0,0.9166666666666666,0.8676113360323887
adr_n_grado2,adr_n_grado2,int64,,,,,4.50372209908471e-08,0.4637111492819881,,,,,,0.8377192982456141,,,,0.5745614035087719,0.8377192982456141
other_comorbidities,other_comorbidities,object,,,,,1.883881091895225e-07,0.3972927152269324,,,,,,0.8333333333333334,,,,0.5,0.8333333333333334
end_reason_progression_any_line,end_reason_progression_any_line,object,0.7248208974367545,15.75185809693716,0.25,0.5,0.005152846847014983,0.2132936511826386,,,,0.9573863636363636,0.9573863636363636,0.40131578947368424,,,,0.19956140350877194,0.7985090567327411
surgery_complications,surgery_complications,object,0.5490117917548614,11.96259737394516,0.25,0.5,0.001079184845220337,0.2818450278403184,,,,0.8664772727272727,0.8664772727272727,0.5635964912280702,,,,0.29605263157894735,0.7799399065846435
death_during_observation,death_during_observation,object,0.0401028473307805,0.8829773268218488,0.25,0.5,1.156643234566616e-14,0.5887002283028895,,,,0.6846590909090909,0.6846590909090909,0.9627192982456141,,,,0.6162280701754386,0.764104864433812
white_blood_cells_range,white_blood_cells_range,object,,,,,8.496059732018759e-06,0.3905853191717613,,,,,,0.7587719298245614,,,,0.4956140350877193,0.7587719298245615
chemo_cycles_n,chemo_cycles_n,float64,,,,,1.121026774451908e-05,0.8019434360201706,,,,,,0.7543859649122807,,,,0.8201754385964912,0.7543859649122808
dyslipidemia,dyslipidemia,object,,,,,4.348944872402279e-05,0.3117157682026804,,,,,,0.75,,,,0.4166666666666667,0.7500000000000001
copd,copd,object,,,,,8.501065108053472e-05,0.2996457121791452,,,,,,0.7456140350877193,,,,0.40789473684210525,0.7456140350877192
adr_ctcae_grade,adr_ctcae_grade,float64,,,,,2.36584669260074e-09,2.805777978378507,0.1944905001095187,1.287599592350795,0.05277963030470203,,,0.8421052631578947,0.07692307692307693,1.0,0.5641025641025641,1.0,0.6650472334682862
comorbilita_cat,comorbilita_cat,float64,,,,,2.859974584514467e-14,1.111071740923812,0.7273188167017662,0.3026986182096632,0.0,,,0.9210526315789473,1.0,0.05128205128205128,0.2564102564102564,0.9210526315789473,0.6299595141700405
age,age,int64,,,,,0.001216722955359549,0.7451648153218877,0.6680508211489272,0.4010930373126557,0.01247763152661836,,,0.5219298245614035,0.9743589743589743,0.5128205128205128,0.5384615384615384,0.8157894736842105,0.6139001349527664
active_principles_n,active_principles_n,float64,0.03220174123076285,0.7031360240856197,0.25,0.5,0.00046798900340521,0.6564148444485103,,,,0.59375,0.59375,0.6337719298245614,,,,0.6907894736842105,0.6051848370927319
adr_n_grado3,adr_n_grado3,int64,0.04820782436213607,1.051650045492065,0.25,0.5,0.02204430586846999,1.425917621021156,0.2527430062308533,0.3540530683538612,0.0,0.7755681818181818,0.7755681818181818,0.28728070175438597,0.7051282051282052,0.2948717948717949,0.2564102564102564,0.9627192982456141,0.5708812569009939
platelet_count_range,platelet_count_range,object,,,,,0.001136283021872924,0.3049562511145081,,,,,,0.5263157894736842,,,,0.41228070175438597,0.5263157894736842
farmaci_cat_n,farmaci_cat_n,int64,,,,,0.0001573623189722566,0.6567373576683894,0.4763065838758153,0.1777861399081827,0.0,,,0.6710526315789473,0.9230769230769231,0.02564102564102564,0.2564102564102564,0.7280701754385965,0.50944669365722
surgical_intervention,surgical_intervention,object,0.01778402790170534,0.3906897384008095,0.25,0.5,9.890216341379241e-05,0.2968590183185741,,,,0.4119318181818182,0.4119318181818182,0.7083333333333334,,,,0.3706140350877193,0.49661796536796543
adr_n_grado1,adr_n_grado1,int64,0.007826965921578223,0.1714849709195454,0.25,0.5,1.707293321767541e-13,0.6867881380697222,,,,0.3210227272727273,0.3210227272727273,0.8793859649122807,,,,0.7741228070175439,0.4805550808840284
neutrophils_percent_range,neutrophils_percent_range,object,,,,,0.003259262591187064,0.2827850843809632,,,,,,0.4473684210526316,,,,0.3333333333333333,0.4473684210526316
tumor_stage_tnm,tumor_stage_tnm,object,,,,,0.003515831964934234,0.6477190815599132,,,,,,0.44298245614035087,,,,0.6535087719298246,0.44298245614035087
anemia_comorbidity,anemia_comorbidity,object,,,,,0.00439411186088165,0.2171876582953296,,,,,,0.43859649122807015,,,,0.23684210526315788,0.43859649122807015
treatment_line_n,treatment_line_n,float64,0.02749433615818635,0.5962150000524717,0.25,0.5,0.04467105715765969,0.4257923747140464,,,,0.5028409090909091,0.5028409090909091,0.19078947368421054,,,,0.5372807017543859,0.4136833561175667
observation_days,observation_days,int64,0.0,0.000440386116379486,0.25,0.5,3.375910898308063e-06,0.9963644836251414,0.2192135593809879,0.6455758976892906,0.08093378856445078,0.048295454545454544,0.048295454545454544,0.7960526315789473,0.2948717948717949,0.782051282051282,0.782051282051282,0.8793859649122807,0.36925568948595267
age_group,age_group,object,,,,,0.005603920800499598,0.2112180901671076,,,,,,0.36403508771929827,,,,0.16228070175438597,0.36403508771929827
observation_end_date,observation_end_date,object,,,,,0.005625831476061676,0.973094846480503,,,,,,0.35964912280701755,,,,0.8377192982456141,0.35964912280701755
red_blood_cells_range,red_blood_cells_range,object,,,,,0.006611208943792409,0.3371967378840848,,,,,,0.35526315789473684,,,,0.42105263157894735,0.35526315789473684
tumor_stage_roman,tumor_stage_roman,object,,,,,0.00928727790426563,0.2796043545842614,,,,,,0.3508771929824561,,,,0.25877192982456143,0.3508771929824561
oncology_treatment_lines_n,oncology_treatment_lines_n,int64,,,,,0.009979350695959132,0.5628208966220831,,,,,,0.34649122807017546,,,,0.5789473684210527,0.34649122807017546
hemoglobin_range,hemoglobin_range,object,,,,,0.01071242198371082,0.2761677939076546,,,,,,0.34210526315789475,,,,0.2543859649122807,0.34210526315789475
histological_grade,histological_grade,object,,,,,0.01128026255201722,0.2538539206432499,,,,,,0.33771929824561403,,,,0.24561403508771928,0.33771929824561403
adr_outcome,adr_outcome,float64,,,,,0.01504032079461019,0.738713803124702,,,,,,0.3333333333333333,,,,0.8114035087719298,0.3333333333333333
bmi_category,bmi_category,object,,,,,0.01927061454378043,0.2614231413568242,,,,,,0.32894736842105265,,,,0.25,0.32894736842105265
data,data,object,,,,,0.02191095014006166,0.950781385721652,,,,,,0.32456140350877194,,,,0.8333333333333334,0.32456140350877194
alt_gpt_range,alt_gpt_range,object,,,,,0.0234945807375027,0.2088447039415325,,,,,,0.25,,,,0.15789473684210525,0.25
cardiovascular_disorders,cardiovascular_disorders,object,,,,,0.02475837580368522,0.1711912357200102,,,,,,0.24561403508771928,,,,0.06140350877192982,0.24561403508771928
ast_got_range,ast_got_range,object,,,,,0.02654200068445622,0.2054214858551155,,,,,,0.2412280701754386,,,,0.14912280701754385,0.2412280701754386
adr_n_tot,adr_n_tot,int64,8.424564820954167e-05,0.002347174004776281,0.25,0.5,0.001335527604454908,0.370326635739499,,,,0.13920454545454544,0.13920454545454544,0.48464912280701755,,,,0.4583333333333333,0.23790299612668037
hypertension,hypertension,object,,,,,0.0289419945480245,0.1665494614739737,,,,,,0.23684210526315788,,,,0.05701754385964912,0.23684210526315788
diabetes_type_ii,diabetes_type_ii,object,,,,,0.03530608203254931,0.1604918062894809,,,,,,0.2324561403508772,,,,0.05263157894736842,0.23245614035087722
molecular_alterations,molecular_alterations,object,,,,,0.03725197606537266,0.158826631524706,,,,,,0.22807017543859648,,,,0.04824561403508772,0.2280701754385965
