feature_norm,feature_orig,Data Type,Combined_RI,Mean_log_effect,Mean_sd,Mean_sel,min_p_value,max_abs_effect,frailty_abs_coef,adr_abs_coef,readm_abs_coef,score_ri,score_logeff,score_p,score_frailty_abs_coef,score_adr_abs_coef,score_readm_abs_coef,score_max_abs_effect,feature_score
patient_id,patient_id,object,,,,,,,,,,,,,,,,,
birth_date,birth_date,object,,,,,,,,,,,,,,,,,
age,age,int64,0.2541080442828642,0.04761395483323216,0.25,0.5,0.07300628518725646,0.3934460678636897,,,,0.4327485380116959,0.3333333333333333,0.011363636363636364,,,,0.4147727272727273,0.29104959368117256
age_group,age_group,object,,,,,0.1123578715048513,0.07908816044570999,,,,,,0.005681818181818182,,,,0.005681818181818182,0.005681818181818182
gender,gender,object,,,,,,,,,,,,,,,,,
ethnicity,ethnicity,object,,,,,0.0004181118939291615,0.2119665268228769,,,,,,0.2727272727272727,,,,0.13636363636363635,0.2727272727272727
education_level,education_level,object,,,,,2.332354728515769e-06,0.279927132054379,,,,,,0.3977272727272727,,,,0.1875,0.3977272727272727
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_value,bmi_value,float64,0.06703020121292574,0.01637430448019499,0.25,0.5,0.00197633517432683,0.348349280513846,,,,0.1608187134502924,0.06725146198830409,0.11647727272727272,,,,0.34375,0.1280996050732893
bmi_category,bmi_category,object,,,,,,,,,,,,,,,,,
employment_status,employment_status,object,,,,,,,,,,,,,,,,,
alcohol_consumption,alcohol_consumption,object,,,,,7.103375083161348e-07,0.2790015978530616,,,,,,0.4147727272727273,,,,0.18181818181818182,0.4147727272727273
smoking_status_binary,smoking_status_binary,int64,,,,,,,,,,,,,,,,,
smoking_status_detail,smoking_status_detail,object,,,,,1.008915306837006e-06,0.2757643846796046,,,,,,0.4090909090909091,,,,0.17045454545454544,0.4090909090909091
smoking_years,smoking_years,int64,,,,,,,,,,,,,,,,,
observation_start_date,observation_start_date,object,,,,,,,,,,,,,,,,,
observation_end_date,observation_end_date,object,,,,,,,,,,,,,,,,,
